parent_category,name,link
Computers,Software,/gp/browse.html?node=229534&ref_=nav_em__sw_0_2_18_9
Computers,Office &amp; School Supplies,/gp/browse.html?node=1064954&ref_=nav_em__op_0_2_18_10
Computers,Trade In Your Electronics,/gp/browse.html?node=2226766011&ref_=nav_em__trade_in_elec_0_2_18_11
Smart Home,Amazon Smart Home,/gp/browse.html?node=6563140011&ref_=nav_em_amazon_smart_home_0_2_19_2
Smart Home,Works with Alexa Devices,/gp/browse.html?node=73846268011&ref_=nav_em__ods_ha_vicc_ee_0_2_19_3
Smart Home,Smart Home Lighting,/gp/browse.html?node=21217035011&ref_=nav_em_sh_lighting_0_2_19_4
Smart Home,Smart Locks and Entry,/gp/browse.html?node=21216824011&ref_=nav_em_sh_locks-entry_0_2_19_5
Smart Home,Security Cameras and Systems,/gp/browse.html?node=21217033011&ref_=nav_em_sh_security-cameras-systems_0_2_19_6
Smart Home,Plugs and Outlets,/gp/browse.html?node=21217037011&ref_=nav_em_sh_plugs-outlets_0_2_19_7
Smart Home,New Smart Devices,/gp/browse.html?node=19185106011&ref_=nav_em_sh_new-devices_0_2_19_8
Smart Home,Heating and Cooling,/gp/browse.html?node=21217041011&ref_=nav_em_sh_heating-cooling_0_2_19_9
Smart Home,Detectors and Sensors,/gp/browse.html?node=21217048011&ref_=nav_em_sh_detectors-sensors_0_2_19_10
Smart Home,Home Entertainment,/gp/browse.html?node=21216826011&ref_=nav_em_sh_home-entertainment_0_2_19_11
Smart Home,Pet,/gp/browse.html?node=21221447011&ref_=nav_em_sh_pet_0_2_19_12
Smart Home,Voice Assistants and Hubs,/gp/browse.html?node=21216812011&ref_=nav_em_sh_voice-assistants-hubs_0_2_19_13
Smart Home,Kitchen,/gp/browse.html?node=21217039011&ref_=nav_em_sh_kitchen_0_2_19_14
Smart Home,Vacuums and Mops,/gp/browse.html?node=21217038011&ref_=nav_em_sh_vacuums-mops_0_2_19_15
Smart Home,Lawn and Garden,/gp/browse.html?node=21217056011&ref_=nav_em_sh_lawn-garden_0_2_19_16
Smart Home,WIFI and Networking,/gp/browse.html?node=21217028011&ref_=nav_em_sh_wifi-networking_0_2_19_17
Smart Home,Other Solutions,/gp/browse.html?node=21217060011&ref_=nav_em_sh_other_0_2_19_18
"Home, Garden & Tools",Amazon Home,/gp/browse.html?node=1055398&ref_=nav_em_home_amazonhome_0_2_20_2
"Home, Garden & Tools",Shop by Room,/gp/browse.html?node=14544458011&ref_=nav_em_home_shopbyroom_0_2_20_3
"Home, Garden & Tools",Discover,/discover?ref_=nav_em_home_sbl_0_2_20_4
"Home, Garden & Tools",Registry &amp; Gift List,/registries?ref_=nav_em_ham_home_registry_giftlist_0_2_20_5
"Home, Garden & Tools",Home Décor,/gp/browse.html?node=1063278&ref_=nav_em_home_homedecor_0_2_20_6
"Home, Garden & Tools",Furniture,/gp/browse.html?node=1063306&ref_=nav_em__furn_0_2_20_7
"Home, Garden & Tools",Kitchen &amp; Dining,/gp/browse.html?node=284507&ref_=nav_em__ki_0_2_20_8
"Home, Garden & Tools",Bed &amp; Bath,/gp/browse.html?node=1057792&ref_=nav_em__bb_0_2_20_9
"Home, Garden & Tools",Garden &amp; Outdoor,/gp/browse.html?node=2972638011&ref_=nav_em__lp_0_2_20_10
"Home, Garden & Tools",Mattresses,/gp/browse.html?node=3732961&ref_=nav_em_home_mattresses_0_2_20_11
"Home, Garden & Tools",Lighting ,/gp/browse.html?node=495224&ref_=nav_em_home_lighting_0_2_20_12
"Home, Garden & Tools",Storage &amp; Organization,/gp/browse.html?node=3610841&ref_=nav_em_home_storageandorg_0_2_20_13
"Home, Garden & Tools",Appliances,/gp/browse.html?node=2619525011&ref_=nav_em__ha_0_2_20_14
"Home, Garden & Tools",Fine Art,/gp/browse.html?node=6685269011&ref_=nav_em__fine_art_0_2_20_15
"Home, Garden & Tools",Collectibles &amp; Fine Art,/gp/browse.html?node=4991425011&ref_=nav_em__collectibles_fine_art_0_2_20_16
"Home, Garden & Tools","Arts, Crafts &amp; Sewing",/gp/browse.html?node=2617941011&ref_=nav_em__sch_0_2_20_17
"Home, Garden & Tools",Event &amp; Party Supplies,/gp/browse.html?node=901590&ref_=nav_em__ep_0_2_20_18
"Home, Garden & Tools",Explore Paint Finder,/paintfinder?ref_=nav_em_hm_menu_pf_0_2_20_20
"Home, Garden & Tools",Home Improvement,/gp/browse.html?node=228013&ref_=nav_em__hi2_0_2_20_21
"Home, Garden & Tools",Power &amp; Hand Tools,/gp/browse.html?node=328182011&ref_=nav_em__hi_0_2_20_22
"Home, Garden & Tools",Lamps &amp; Light Fixtures,/gp/browse.html?node=495224&ref_=nav_em__llf_0_2_20_23
"Home, Garden & Tools",Kitchen &amp; Bath Fixtures,/gp/browse.html?node=3754161&ref_=nav_em__kbf_0_2_20_24
"Home, Garden & Tools",Cookware,/gp/browse.html?node=289814&ref_=nav_em__cookware_0_2_20_25
"Home, Garden & Tools",Hardware,/gp/browse.html?node=511228&ref_=nav_em__hdw_0_2_20_26
"Home, Garden & Tools",Smart Home,/gp/browse.html?node=6563140011&ref_=nav_em__homaut_0_2_20_27
"Home, Garden & Tools",Amazon Basics,/stores/AmazonBasics/page/947C6949-CF8E-4BD3-914A-B411DD3E4433?channel=hamburg&ref_=nav_em_home_amazonbasics_0_2_20_29
"Home, Garden & Tools",Pinzon,/stores/node/20605033011?channel=hamburg&ref_=nav_em_0_2_20_30
"Home, Garden & Tools",Rivet,/stores/node/7633572011?channel=hamburg&ref_=nav_em_0_2_20_31
"Home, Garden & Tools",Stone &amp; Beam,/stores/node/17384727011?channel=hamburg&ref_=nav_em_0_2_20_32
"Home, Garden & Tools",Amazon Launchpad,/gp/browse.html?node=12034488011&ref_=nav_em_home_launchpad_0_2_20_33
Pet Supplies,Pet Profiles,/yourpets?ref_=nav_em__directory_pet_profiles_0_2_21_2
Pet Supplies,Dog Supplies,/gp/browse.html?node=2975312011&ref_=nav_em__sd_dg_0_2_21_3
Pet Supplies,Dog Food,/gp/browse.html?node=2975359011&ref_=nav_em__sd_df_0_2_21_4
Pet Supplies,Cat Supplies,/gp/browse.html?node=2975241011&ref_=nav_em__sd_ct_0_2_21_5
Pet Supplies,Cat Food,/gp/browse.html?node=2975265011&ref_=nav_em__sd_ctfd_0_2_21_6
Pet Supplies,Fish &amp; Aquatic Pets,/gp/browse.html?node=2975446011&ref_=nav_em__sd_fish_0_2_21_7
Pet Supplies,Small Animals,/gp/browse.html?node=2975520011&ref_=nav_em__sd_sa_0_2_21_8
Pet Supplies,Birds,/gp/browse.html?node=2975221011&ref_=nav_em__sd_bird_0_2_21_9
